lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2023-05-03 02:43:22.035372,,,,,8.0,0.1256878525018692,0.0004929970600642264,-502.6549377441406,0.16623438894748688,0.0006752631743438542,-502.6144104003906,,,
,2023-05-03 02:43:22.042076,,,,,8.0,,,,,,,0.12520921230316162,0.002576060127466917,-480.2165832519531
0.02,2023-05-03 02:43:48.883314,,,,,,,,,,,,,,
,2023-05-03 02:43:49.417450,0.22838285565376282,0.0009884452447295189,-511.1603698730469,2299.0,9.0,,,,,,,,,
0.02,2023-05-03 02:44:15.636831,,,,,,,,,,,,,,
,2023-05-03 02:44:16.173297,0.038675352931022644,0.00013455850421451032,-520.0474853515625,2349.0,9.0,,,,,,,,,
0.02,2023-05-03 02:44:42.451746,,,,,,,,,,,,,,
,2023-05-03 02:44:42.988127,0.12996307015419006,0.0005069250473752618,-528.5673217773438,2399.0,9.0,,,,,,,,,
0.02,2023-05-03 02:45:09.237543,,,,,,,,,,,,,,
,2023-05-03 02:45:09.773198,0.05876484513282776,0.00020263415353838354,-537.1640625,2449.0,9.0,,,,,,,,,
0.02,2023-05-03 02:45:36.043754,,,,,,,,,,,,,,
,2023-05-03 02:45:38.288888,0.06302349269390106,0.0002094851661240682,-545.6007080078125,2499.0,9.0,,,,,,,,,
,2023-05-03 02:45:40.263620,,,,,9.0,0.1754683256149292,0.006903249770402908,-545.65625,0.04627735912799835,0.0001648275210754946,-545.7854614257812,,,
,2023-05-03 02:45:40.275425,,,,,9.0,,,,,,,0.11817041784524918,0.0028142048977315426,-524.4890747070312
0.02,2023-05-03 02:47:37.285081,,,,,,,,,,,,,,
,2023-05-03 02:47:37.812637,0.06702229380607605,0.0002293318830197677,-553.953857421875,2549.0,10.0,,,,,,,,,
0.02,2023-05-03 02:48:04.035976,,,,,,,,,,,,,,
,2023-05-03 02:48:04.563682,0.020149026066064835,8.153114322340116e-05,-562.2749633789062,2599.0,10.0,,,,,,,,,
0.02,2023-05-03 02:48:30.767570,,,,,,,,,,,,,,
,2023-05-03 02:48:31.293579,0.133794903755188,0.0006034511607140303,-570.3533935546875,2649.0,10.0,,,,,,,,,
0.02,2023-05-03 02:48:57.529225,,,,,,,,,,,,,,
,2023-05-03 02:48:58.069749,0.03795500099658966,0.00014779932098463178,-578.5598754882812,2699.0,10.0,,,,,,,,,
0.02,2023-05-03 02:49:24.394701,,,,,,,,,,,,,,
,2023-05-03 02:49:24.920022,0.07330887764692307,0.0002509090700186789,-586.5548095703125,2749.0,10.0,,,,,,,,,
,2023-05-03 02:49:27.308172,,,,,10.0,0.08339345455169678,0.0002998730924446136,-586.7046508789062,0.0725259929895401,0.00034182751551270485,-586.7153930664062,,,
,2023-05-03 02:49:27.315283,,,,,10.0,,,,,,,0.11081133037805557,0.0029249698854982853,-566.2425537109375
0.02,2023-05-03 02:49:55.103810,,,,,,,,,,,,,,
,2023-05-03 02:49:55.631358,0.036068543791770935,0.00012956126010976732,-594.5426025390625,2799.0,11.0,,,,,,,,,
0.02,2023-05-03 02:50:21.867846,,,,,,,,,,,,,,
,2023-05-03 02:50:22.401676,0.1913917362689972,0.0009555678116157651,-602.2589111328125,2849.0,11.0,,,,,,,,,
0.02,2023-05-03 02:50:48.641134,,,,,,,,,,,,,,
,2023-05-03 02:50:49.167938,0.14629793167114258,0.000658488308545202,-610.0975341796875,2899.0,11.0,,,,,,,,,
0.02,2023-05-03 02:51:15.364467,,,,,,,,,,,,,,
,2023-05-03 02:51:15.899999,0.0942545160651207,0.000356648291926831,-617.86572265625,2949.0,11.0,,,,,,,,,
0.02,2023-05-03 02:51:42.204833,,,,,,,,,,,,,,
,2023-05-03 02:51:44.451484,0.029398079961538315,0.00011424544209148735,-625.5701293945312,2999.0,11.0,,,,,,,,,
,2023-05-03 02:51:46.433157,,,,,11.0,0.06024108827114105,0.0002089411427732557,-625.6913452148438,0.10914476960897446,0.0006641166983172297,-625.6424560546875,,,
,2023-05-03 02:51:46.445571,,,,,11.0,,,,,,,0.1283644735813141,0.003121420508250594,-606.2244873046875
0.02,2023-05-03 02:53:43.713423,,,,,,,,,,,,,,
,2023-05-03 02:53:44.247532,0.0424412339925766,0.00015578784223180264,-633.1209106445312,3049.0,12.0,,,,,,,,,
0.02,2023-05-03 02:54:10.464272,,,,,,,,,,,,,,
,2023-05-03 02:54:10.999364,0.08566278219223022,0.00033096366678364575,-640.56640625,3099.0,12.0,,,,,,,,,
0.02,2023-05-03 02:54:37.327055,,,,,,,,,,,,,,
,2023-05-03 02:54:37.854892,0.027905065566301346,0.00011003352119587362,-648.038330078125,3149.0,12.0,,,,,,,,,
0.02,2023-05-03 02:55:04.080805,,,,,,,,,,,,,,
,2023-05-03 02:55:04.614874,0.07122763246297836,0.00024043148732744157,-655.3357543945312,3199.0,12.0,,,,,,,,,
0.02,2023-05-03 02:55:30.944331,,,,,,,,,,,,,,
,2023-05-03 02:55:31.483288,0.20567840337753296,0.0018939224537461996,-662.4690551757812,3249.0,12.0,,,,,,,,,
,2023-05-03 02:55:33.874902,,,,,12.0,0.20919111371040344,0.0011041832622140646,-662.610107421875,0.037715427577495575,0.000159406554303132,-662.7816162109375,,,
,2023-05-03 02:55:33.881964,,,,,12.0,,,,,,,0.11719732731580734,0.0020485029090195894,-644.236083984375
0.02,2023-05-03 02:56:01.108016,,,,,,,,,,,,,,
,2023-05-03 02:56:01.643717,0.0698675662279129,0.00023042812244966626,-669.80029296875,3299.0,13.0,,,,,,,,,
0.02,2023-05-03 02:56:27.947273,,,,,,,,,,,,,,
,2023-05-03 02:56:28.474600,0.02951689437031746,0.00010526503319852054,-676.9647827148438,3349.0,13.0,,,,,,,,,
0.02,2023-05-03 02:56:54.720043,,,,,,,,,,,,,,
,2023-05-03 02:56:55.271282,0.1932859569787979,0.0009227684931829572,-683.8543090820312,3399.0,13.0,,,,,,,,,
